,M001136
2024-03-11,0.0
2024-03-12,0.0032391420052991426
2024-03-13,0.01260665737888261
2024-03-14,-0.02273384371818032
2024-03-15,-0.03574215816330062
2024-03-18,0.04277542490403221
2024-03-19,-0.04660505180998318
2024-03-20,0.014775647725878804
2024-03-21,0.024759448762661864
2024-03-22,-0.029830674485510668
2024-03-25,0.0032000706543829135
2024-03-26,0.02936780563991923
2024-03-27,-0.013118052464478173
2024-03-28,-0.018072490696248122
2024-03-29,0.0
2024-04-01,0.0
2024-04-02,-0.011998453084592998
2024-04-03,-0.005173313306940483
2024-04-04,0.026012137410481098
2024-04-05,-0.06008778055427453
2024-04-08,0.01085382693486266
2024-04-09,-0.0011161716354470361
2024-04-10,-0.030386183059052135
2024-04-11,0.02333528435962863
2024-04-12,0.00402249476825072
2024-04-15,-0.003653932057852822
2024-04-16,-0.0214932283834003
2024-04-17,0.0162387146939379
2024-04-18,-0.044871383267237164
2024-04-19,-0.023313404172878575
2024-04-22,-0.041689128620645194
2024-04-23,0.028872932873565967
2024-04-24,0.03588056539273518
2024-04-25,-0.05393306348137665
2024-04-26,0.048445033709204284
2024-04-29,0.03822067596686715
2024-04-30,0.002845417864144669
2024-05-01,-0.05136843113487318
2024-05-02,-0.012468078662371129
2024-05-03,0.0309085361200174
2024-05-06,0.023740302082817036
2024-05-07,0.020069679903742286
2024-05-08,-0.018203864766886048
2024-05-09,0.0049646091425617
2024-05-10,0.002550452203310251
2024-05-13,-0.008796473813063269
2024-05-14,-0.007666913602920889
2024-05-15,0.0331834407374399
2024-05-16,0.03031066004058739
2024-05-17,0.020484489508522837
2024-05-20,-0.01182916687195279
2024-05-21,-0.005486760965083753
2024-05-22,0.020332390972365996
2024-05-23,0.04268047876396016
2024-05-24,-0.01390237417610549
2024-05-27,0.0
2024-05-28,0.0
2024-05-29,0.006941841039758186
2024-05-30,0.008390258709195417
2024-05-31,-0.013011653424851083
2024-06-03,0.017403807835597047
2024-06-04,-0.014138658815824288
2024-06-05,0.00910782000333241
2024-06-06,0.029931020204313513
2024-06-07,-0.006942651627097822
2024-06-10,-0.014777712058718384
2024-06-11,-0.003426127587064612
2024-06-12,0.008568462650164527
2024-06-13,0.007621537570810149
2024-06-14,-0.00796044879468872
2024-06-17,-0.004250218599213838
2024-06-18,-0.004404933871255862
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,-0.006595379861826569
2024-06-24,-0.014021124559224996
2024-06-25,0.0012901251674179942
2024-06-26,0.005224338715986668
2024-06-27,-0.01733382024841253
2024-06-28,0.009394460435791643
2024-07-01,-0.0007529594277985989
2024-07-02,-0.023454561731906888
2024-07-03,0.024477246188214518
2024-07-04,0.0
2024-07-05,0.0
2024-07-08,0.024865350933673636
2024-07-09,0.017538254172003758
2024-07-10,0.01106730216884766
2024-07-11,0.02110394407792255
2024-07-12,-0.015739111589720557
2024-07-15,0.011858421585340648
2024-07-16,-0.01605481981990952
2024-07-17,-0.03756252594022361
2024-07-18,-0.01785476230187702
2024-07-19,-0.038152640293006176
2024-07-22,0.000454509901264954
2024-07-23,0.011535683929758924
2024-07-24,-0.0153081323583559
2024-07-25,-0.04270775186690082
2024-07-26,0.001989555843544953
2024-07-29,0.00313795084254406
2024-07-30,-0.008880634447265483
2024-07-31,0.04227369900474581
2024-08-01,-0.008226814478579357
2024-08-02,-0.07665505925951244
2024-08-05,-0.08235628942408267
2024-08-06,0.08358876534253627
2024-08-07,0.006603580855214025
2024-08-08,-0.006253879456556546
2024-08-09,-0.0009940674055217546
2024-08-12,-0.005405695375223169
2024-08-13,0.0223643027903257
2024-08-14,0.029514093579008704
2024-08-15,0.003737885377143372
2024-08-16,0.014146914257418469
2024-08-19,0.02063953065666988
2024-08-20,0.03784250795555168
2024-08-21,-0.0017970019694404944
2024-08-22,0.016771668270115076
2024-08-23,-0.01990077543405313
2024-08-26,0.012386823898309925
2024-08-27,-0.024491676211315372
2024-08-28,0.0017699127059076607
2024-08-29,-0.02187222951147027
2024-08-30,-0.001318279950107974
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,-0.04133039349481435
2024-09-05,-0.011512415060365908
2024-09-06,0.005812622271253706
2024-09-09,-0.018739406912579814
2024-09-10,0.014603003327588352
2024-09-11,0.023323621716006222
2024-09-12,0.029796871699906222
2024-09-13,0.01759595160980803
2024-09-16,-0.004267159388114949
2024-09-17,0.01445051809185673
2024-09-18,-0.008314722364291876
2024-09-19,0.015380870925290717
2024-09-20,0.010202972881125223
2024-09-23,-0.0034347724152804507
2024-09-24,0.006938517750894884
2024-09-25,0.015383560420276625
2024-09-26,0.03595562039440743
2024-09-27,0.0056633449632093194
2024-09-30,-0.026789386613388744
2024-10-01,0.009084796633209566
2024-10-02,-0.02555611717439247
2024-10-03,0.002776388709776184
2024-10-04,0.029307889051562244
2024-10-07,0.013974280165942175
2024-10-08,0.00852511863598465
2024-10-09,0.01516648875180335
2024-10-10,-0.019584235208062514
2024-10-11,-0.010898522302730652
2024-10-14,0.018382246123283354
2024-10-15,-0.009167720154076863
2024-10-16,-0.024786123252069265
2024-10-17,0.028688571212700048
2024-10-18,-0.009363853533347082
2024-10-21,-0.005193477382256123
2024-10-22,0.00748292781201655
2024-10-23,-0.010266493396260195
2024-10-24,0.0010430918301983464
2024-10-25,0.004256814133722093
2024-10-28,0.010450595333630236
2024-10-29,-0.0029547391211116845
2024-10-30,-0.02321993250611557
2024-10-31,-0.006078496610551286
2024-11-01,-0.019412928155354198
2024-11-04,0.003479154814479426
2024-11-05,-0.0032251567392552927
2024-11-06,0.03612404159988563
2024-11-07,0.01876423053177805
2024-11-08,-0.012355150608779923
2024-11-11,-0.005989754300924453
2024-11-12,-0.0038108987618029008
2024-11-13,-0.0056764968235267005
2024-11-14,-0.009264547103723873
2024-11-15,-0.01614393339464015
2024-11-18,-0.0076513391579027595
2024-11-19,-0.005676285982611673
2024-11-20,0.01898813049704338
2024-11-21,0.004362338873739569
2024-11-22,-0.004490511939252414
2024-11-25,0.004807406568768807
2024-11-26,-0.003987110644123945
2024-11-27,-0.020856081306038752
2024-11-28,0.0
2024-11-29,0.0
2024-12-02,0.010483226459180298
2024-12-03,0.011356816255617318
2024-12-04,0.008448843806793315
2024-12-05,0.016133791544253605
2024-12-06,-0.011005579530413848
2024-12-09,-0.02082087056691375
2024-12-10,-0.01171291343180634
2024-12-11,0.0016354855162932576
2024-12-12,0.003924608842289996
2024-12-13,-0.001960134234347554
2024-12-16,-0.004298957124011204
2024-12-17,-0.0028762679774617817
2024-12-18,-0.0009284820525550889
2024-12-19,-0.02895784816347578
2024-12-20,-0.018638231152469185
2024-12-23,0.014656187733578206
2024-12-24,0.007556160639510408
2024-12-25,0.0
2024-12-26,0.0
2024-12-27,-0.0045533110020793775
2024-12-30,-0.015040201607363246
2024-12-31,0.002737825267764502
2025-01-01,0.0
2025-01-02,0.0
2025-01-03,-0.002843844125662987
2025-01-06,0.015516987516555489
2025-01-07,0.0037374727945932353
2025-01-08,-0.01361375156065223
2025-01-09,0.0
2025-01-10,0.0
2025-01-13,-0.016793258745783798
2025-01-14,0.016002743837794868
2025-01-15,0.013504525518131763
2025-01-16,0.0057112566998544405
2025-01-17,0.01271774978578636
2025-01-20,0.0
2025-01-21,0.0
2025-01-22,0.016220918462658
2025-01-23,-0.004367386058869799
2025-01-24,0.007376379409936236
2025-01-27,-0.030084905716919512
2025-01-28,0.011108859372961183
2025-01-29,0.00555212801652252
2025-01-30,0.002929115724759209
2025-01-31,0.009505110023127037
2025-02-03,-0.024570252776560764
2025-02-04,0.012260563596746547
2025-02-05,0.006362030696796348
2025-02-06,0.011465439799750548
2025-02-07,0.0007143382907880461
2025-02-10,-0.0021707109688205105
2025-02-11,0.0011678631313870144
2025-02-12,-0.011572634601040355
2025-02-13,0.0038709810599958324
2025-02-14,0.008559861595419067
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,-0.004518952425009374
2025-02-20,-0.0012831000090397708
2025-02-21,-0.004505158516176063
2025-02-24,-0.02225179901385007
2025-02-25,-0.011658251219716666
2025-02-26,0.00014332664059716653
2025-02-27,0.007305708437402124
2025-02-28,-0.02520293718791961
2025-03-03,0.021677743186073965
