Input Seq 1,2022 NAICS Code,2022 NAICS Title,Related SIC Code,Related SIC Code Description,Change to 2017 Code,2017 NAICS Code,2017 NAICS Code
1,111110,Soybean Farming,0116,Soybeans,No Change,111110,Soybean Farming
2,111120,Oilseed (except Soybean) Farming ,0119,"Cash Grains, Nec",No Change,111120,Oilseed (except Soybean) Farming 
3,111130,Dry Pea and Bean Farming ,0119,"Cash Grains, Nec",No Change,111130,Dry Pea and Bean Farming 
4,111140,Wheat Farming,0111,Wheat,No Change,111140,Wheat Farming
5,111150,Corn Farming ,0115,Corn,No Change,111150,Corn Farming 
6,111150,Corn Farming ,0119,"Cash Grains, Nec",No Change,111150,Corn Farming 
7,111160,Rice Farming,0112,Rice,No Change,111160,Rice Farming
8,111191,Oilseed and Grain Combination Farming ,0119,"Cash Grains, Nec",No Change,111191,Oilseed and Grain Combination Farming 
9,111199,All Other Grain Farming ,0119,"Cash Grains, Nec",No Change,111199,All Other Grain Farming 
10,111199,All Other Grain Farming ,0139,"Field Crops, Except Cash Grain",No Change,111199,All Other Grain Farming 
11,111211,Potato Farming ,0134,Irish Potatoes,No Change,111211,Potato Farming 
12,111211,Potato Farming ,0139,"Field Crops, Except Cash Grain",No Change,111211,Potato Farming 
13,111211,Potato Farming ,0161,Vegetables and Melons,No Change,111211,Potato Farming 
14,111219,Other Vegetable (except Potato) and Melon Farming ,0139,"Field Crops, Except Cash Grain",No Change,111219,Other Vegetable (except Potato) and Melon Farming 
15,111219,Other Vegetable (except Potato) and Melon Farming ,0161,Vegetables and Melons,No Change,111219,Other Vegetable (except Potato) and Melon Farming 
16,111310,Orange Groves,0174,Citrus Fruits,No Change,111310,Orange Groves
17,111320,Citrus (except Orange) Groves ,0174,Citrus Fruits,No Change,111320,Citrus (except Orange) Groves 
18,111331,Apple Orchards ,0175,Deciduous Tree Fruits,No Change,111331,Apple Orchards 
19,111332,Grape Vineyards ,0172,Grapes,No Change,111332,Grape Vineyards 
20,111333,Strawberry Farming ,0171,Berry Crops,No Change,111333,Strawberry Farming 
21,111334,Berry (except Strawberry) Farming ,0171,Berry Crops,No Change,111334,Berry (except Strawberry) Farming 
22,111335,Tree Nut Farming ,0173,Tree Nuts,No Change,111335,Tree Nut Farming 
23,111336,Fruit and Tree Nut Combination Farming ,0179,"Fruits and Tree Nuts, Nec",No Change,111336,Fruit and Tree Nut Combination Farming 
24,111339,Other Noncitrus Fruit Farming ,0175,Deciduous Tree Fruits,No Change,111339,Other Noncitrus Fruit Farming 
25,111339,Other Noncitrus Fruit Farming ,0179,"Fruits and Tree Nuts, Nec",No Change,111339,Other Noncitrus Fruit Farming 
26,111411,Mushroom Production ,0182,Food Crops Grown Under Cover,No Change,111411,Mushroom Production 
27,111419,Other Food Crops Grown Under Cover ,0182,Food Crops Grown Under Cover,No Change,111419,Other Food Crops Grown Under Cover 
28,111421,Nursery and Tree Production ,0181,Ornamental Nursery Products,No Change,111421,Nursery and Tree Production 
29,111421,Nursery and Tree Production ,0811,Timber Tracts,No Change,111421,Nursery and Tree Production 
30,111422,Floriculture Production ,0181,Ornamental Nursery Products,No Change,111422,Floriculture Production 
31,111910,Tobacco Farming,0132,Tobacco,No Change,111910,Tobacco Farming
32,111920,Cotton Farming,0131,Cotton,No Change,111920,Cotton Farming
33,111930,Sugarcane Farming,0133,Sugarcane and Sugar Beets,No Change,111930,Sugarcane Farming
34,111940,Hay Farming ,0139,"Field Crops, Except Cash Grain",No Change,111940,Hay Farming 
35,111991,Sugar Beet Farming ,0133,Sugarcane and Sugar Beets,No Change,111991,Sugar Beet Farming 
36,111992,Peanut Farming ,0139,"Field Crops, Except Cash Grain",No Change,111992,Peanut Farming 
37,111998,All Other Miscellaneous Crop Farming ,0139,"Field Crops, Except Cash Grain",No Change,111998,All Other Miscellaneous Crop Farming 
38,111998,All Other Miscellaneous Crop Farming ,0191,"General Farms, Primarily Crop",No Change,111998,All Other Miscellaneous Crop Farming 
