congress,chamber,bioguide_id,committee_code,rank,role
118,H,P000619,II,11,
118,H,P000619,PW,24,
118,H,P000619,II10,7,
118,H,P000619,II13,4,
118,H,P000619,PW05,11,
118,H,P000619,PW07,5,
118,H,C001054,AP,29,
118,H,C001054,II,15,
118,H,C001054,AP01,8,
118,H,C001054,AP04,5,
118,H,C001054,AP23,7,
118,H,C001054,II13,9,
118,H,C001054,II24,5,
118,H,M001212,AG,16,
118,H,M001212,JU,16,
118,H,M001212,AG15,3,
118,H,M001212,AG16,7,
118,H,M001212,AG29,7,
118,H,M001212,JU01,8,
118,H,M001212,JU08,4,
118,H,R000575,AS,1,Chair
118,H,A000055,AP,4,
118,H,A000055,AP02,4,
118,H,A000055,AP07,1,Chair
118,H,A000055,AP19,2,
118,H,S001220,AS,21,
118,H,S001220,HM,16,
118,H,S001220,SY,15,
118,H,S001220,AS03,6,
118,H,S001220,AS29,9,
118,H,S001220,AS35,4,
118,H,S001220,HM09,4,
118,H,S001220,HM12,3,
118,H,S001220,SY16,6,
118,H,P000609,GO,8,
118,H,P000609,IF,12,
118,H,P000609,GO24,2,
118,H,P000609,IF02,5,
118,H,P000609,IF03,8,
118,H,P000609,IF18,2,
118,H,S001185,AS,24,
118,H,S001185,HA,2,
118,H,S001185,JL,5,
118,H,S001185,WM,8,
118,H,S001185,AS02,7,
118,H,S001185,HA08,1,
118,H,S001185,WM02,4,
118,H,S001185,WM04,7,
118,H,S001185,WM06,4,
118,H,C001087,AG,4,
118,H,C001087,IG,3,
118,H,C001087,PW,2,
118,H,C001087,SY,12,
118,H,C001087,AG16,2,
118,H,C001087,IG01,1,Chairman
118,H,C001087,IG04,3,
118,H,C001087,PW05,2,
118,H,C001087,PW12,1,Chairman
118,H,C001087,SY15,4,
118,H,C001087,SY18,3,
118,H,H001072,BA,10,
118,H,H001072,FA,16,
118,H,H001072,IG,9,
118,H,H001072,BA16,5,
118,H,H001072,BA21,1,Chairman
118,H,H001072,FA06,4,
118,H,H001072,FA17,5,
118,H,H001072,IG02,3,
118,H,H001072,IG06,3,
118,H,W000809,AP,9,
118,H,W000809,AP02,3,
118,H,W000809,AP20,1,Chair
118,H,W000809,AP23,2,
118,H,W000821,II,1,Chair
118,H,W000821,PW,11,
118,H,W000821,PW02,7,
118,H,W000821,PW05,5,
118,H,W000821,PW14,6,
118,H,R000600,FA,15,
118,H,R000600,II,7,
118,H,R000600,VR,2,Vice Chair
118,H,R000600,FA05,5,
118,H,R000600,FA06,3,
118,H,R000600,II13,5,
118,H,R000600,II24,2,
118,H,R000600,VR03,2,
118,H,R000600,VR08,2,
118,H,S001183,EC,1,Vice Chair
118,H,S001183,WM,5,
118,H,S001183,WM01,3,
118,H,S001183,WM05,2,
118,H,S001183,WM06,1,Chairman
118,H,C001132,HM,18,
118,H,C001132,SM,11,
118,H,C001132,VR,12,
118,H,C001132,HM05,5,
118,H,C001132,HM09,5,
118,H,C001132,SM22,5,
118,H,C001132,SM24,3,
118,H,C001132,VR09,4,
