Congress,Committee code,ID #,Name,Maj/Min,Rank Within Party Status,Party,Date of Assignment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State,CD,State Name,Notes,,,,,,,,,
112,102,29393,"Lucas, Frank D.",1,1,200,1/4/11,1/3/13,11,10,2,1,1,HRES6,Agriculture,53,3,OK,,,,,,,,,,
112,102,39308,"Goodlatte, Robert W.",1,2,200,1/11/11,1/3/13,0,10,2,1,1,HRES33,Agriculture,40,6,VA,,,,,,,,,,
112,102,20116,"Johnson, Timothy V.",1,3,200,1/11/11,1/3/13,0,6,2,1,0,HRES33,Agriculture,21,15,IL,Did not seek reelection,,,,,,,,,
112,102,20325,"King, Steve",1,4,200,1/11/11,1/3/13,0,5,2,1,1,HRES33,Agriculture,31,5,IA,,,,,,,,,,
112,102,20353,"Neugebauer, Randy",1,5,200,1/11/11,1/3/13,0,5,2,1,1,HRES33,Agriculture,49,19,TX,,,,,,,,,,
112,102,20531,"Conaway, K. Michael",1,6,200,1/11/11,1/3/13,0,4,2,1,1,HRES33,Agriculture,49,11,TX,,,,,,,,,,
112,102,20518,"Fortenberry, Jeff",1,7,200,1/11/11,1/3/13,0,4,2,1,2,HRES33,Agriculture,35,1,NE,Transferred to Appropriations,,,,,,,,,
112,102,20540,"Schmidt, Jean",1,8,200,1/11/11,1/3/13,0,4,2,1,0,HRES33,Agriculture,24,2,OH,Defeated for renomination,,,,,,,,,
112,102,20946,"Thompson, Glenn",1,9,200,1/11/11,1/3/13,0,2,2,1,1,HRES33,Agriculture,14,5,PA,,,,,,,,,,
112,102,20910,"Rooney, Thomas J.",1,10,200,1/11/11,1/3/13,0,1,2,1,2,HRES33,Agriculture,43,16,FL,Transferred to Appropriations,,,,,,,,,
112,102,21100,"Stutzman, Marlin",1,11,200,1/11/11,1/3/13,0,1,2,1,2,HRES33,Agriculture,22,3,IN,Transferred to Financial Services,,,,,,,,,
112,102,21165,"Gibbs, Bob",1,12,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Agriculture,24,18,OH,,,,,,,,,,
112,102,21123,"Scott, Austin",1,13,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Agriculture,44,8,GA,,,,,,,,,,
112,102,21181,"Fincher, Stephen",1,14,200,1/11/11,5/11/11,0,1,2,2,1,HRES33,Agriculture,54,8,TN,Transferred to Financial Services,,,,,,,,,
112,102,21111,"Tipton, Scott",1,15,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Agriculture,62,3,CO,,,,,,,,,,
112,102,21114,"Southerland, Steve",1,16,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Agriculture,43,2,FL,,,,,,,,,,
112,102,21106,"Crawford, Rick",1,17,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Agriculture,42,1,AR,,,,,,,,,,
112,102,21192,"Roby, Martha",1,18,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Agriculture,41,2,AL,,,,,,,,,,
112,102,21134,"Huelskamp, Tim",1,19,200,1/11/11,1/3/13,0,1,2,1,2,HRES33,Agriculture,32,1,KS,Transferred to Small Business,,,,,,,,,
112,102,21179,"DesJarlais, Scott",1,20,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Agriculture,54,4,TN,,,,,,,,,,
112,102,21159,"Ellmers, Renee",1,21,200,1/11/11,1/3/13,0,1,2,1,2,HRES33,Agriculture,47,2,NC,Transferred to Energy and Commerce,,,,,,,,,
