S.No.,Company Name,Ticker
1,Adobe Inc.,ADBE
2,ADP,ADP
3,Advanced Micro Devices Inc.,AMD
4,Airbnb,ABNB
5,Alnylam Pharmaceuticals,ALNY
6,Alphabet Inc. (Class A),GOOGL
7,Alphabet Inc. (Class C),GOOG
8,Amazon,AMZN
9,American Electric Power,AEP
10,Amgen,AMGN
11,Analog Devices,ADI
12,Apple Inc.,AAPL
13,Applied Materials,AMAT
14,Applovin Corp,APP
15,Arm Holdings,ARM
16,ASML Holding,ASML
17,Atlassian,TEAM
18,Autodesk,ADSK
19,Axon Enterprise Inc.,AXON
20,Baker Hughes,BKR
21,Booking Holdings,BKNG
22,Broadcom Inc.,AVGO
23,Cadence Design Systems,CDNS
24,Charter Communications,CHTR
25,Cintas,CTAS
26,Cisco,CSCO
27,Coca-Cola Europacific Partners,CCEP
28,Cognizant,CTSH
29,Comcast,CMCSA
30,Constellation Energy,CEG
31,Copart,CPRT
32,CoStar Group,CSGP
33,Costco,COST
34,CrowdStrike,CRWD
35,CSX Corporation,CSX
36,Datadog,DDOG
37,DexCom,DXCM
38,Diamondback Energy,FANG
39,DoorDash,DASH
40,Electronic Arts,EA
41,Exelon,EXC
42,Fastenal,FAST
43,Ferrovial SE,FER
44,Fortinet,FTNT
45,GE HealthCare,GEHC
46,Gilead Sciences,GILD
47,Honeywell,HON
48,Idexx Laboratories,IDXX
49,Insmed Incorporated,INSM
50,Intel,INTC
51,Intuit,INTU
52,Intuitive Surgical,ISRG
53,Keurig Dr Pepper,KDP
54,KLA Corporation,KLAC
55,Kraft Heinz,KHC
56,Lam Research,LRCX
57,Linde plc,LIN
58,Marriott International,MAR
59,Marvell Technology,MRVL
60,MercadoLibre,MELI
61,Meta Platforms,META
62,Microchip Technology,MCHP
63,Micron Technology,MU
64,Microsoft,MSFT
65,MicroStrategy Inc.,MSTR
66,Mondelez International,MDLZ
67,Monolithic Power Systems,MPWR
68,Monster Beverage,MNST
69,Netflix,NFLX
70,Nvidia,NVDA
71,NXP Semiconductors,NXPI
72,Old Dominion Freight Line,ODFL
73,O'Reilly Automotive,ORLY
74,Paccar,PCAR
75,Palantir Technologies,PLTR
76,Palo Alto Networks,PANW
77,Paychex,PAYX
78,PayPal,PYPL
79,PDD Holdings,PDD
80,PepsiCo,PEP
81,Qualcomm,QCOM
82,Regeneron Pharmaceuticals,REGN
83,Roper Technologies,ROP
84,Ross Stores,ROST
85,Seagate Technology Holdings,STX
86,Shopify,SHOP
87,Starbucks,SBUX
88,Synopsys,SNPS
89,Take-Two Interactive,TTWO
90,"Tesla, Inc.",TSLA
91,Texas Instruments,TXN
92,Thomson Reuters Corporation,TRI
93,T-Mobile US,TMUS
94,Verisk,VRSK
95,Vertex Pharmaceuticals,VRTX
96,Walmart,WMT
97,Warner Bros. Discovery,WBD
98,Western Digital,WDC
99,"Workday, Inc.",WDAY
100,Xcel Energy,XEL
101,Zscaler,ZS
