Congress,Committee Code,ID #,Name,Maj/Min,Rank Within Party,Party Code,Date of Appointment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State Code,District,State Name,Notes,,,,,
112,305,29732,"Stabenow, Deborah Ann",1,1,100,2/2/11,1/3/13,11,11,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",23,81,MI,,,,,,
112,305,14307,"Leahy, Patrick J.",1,2,100,2/2/11,1/3/13,0,37,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",6,83,VT,,,,,,
112,305,14230,"Harkin, Tom",1,3,100,2/2/11,1/3/13,0,26,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",31,82,IA,,,,,,
112,305,15502,"Conrad, Kent",1,4,100,2/2/11,1/3/13,0,25,2,1,0,SRES42,"Agriculture, Nutrition, and Forestry",36,81,ND,,,,,,
112,305,14203,"Baucus, Max",1,5,100,2/2/11,1/3/13,0,23,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",64,82,MT,,,,,,
112,305,40103,"Nelson, Earl Benjamin (Ben)",1,6,100,2/2/11,1/3/13,0,11,2,1,0,SRES42,"Agriculture, Nutrition, and Forestry",35,81,NE,,,,,,
112,305,29389,"Brown, Sherrod",1,7,100,2/2/11,1/3/13,0,5,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",24,81,OH,,,,,,
112,305,40703,"Casey, Robert P., Jr.",1,8,100,2/2/11,1/3/13,0,5,3,1,1,SRES42,"Agriculture, Nutrition, and Forestry",14,81,PA,,,,,,
112,305,40700,"Klobuchar, Amy",1,9,100,2/2/11,1/3/13,0,5,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",33,81,MN,,,,,,
112,305,40910,"Bennet, Michael",1,10,100,2/2/11,1/3/13,0,3,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",62,83,CO,,,,,,
112,305,20735,"Gillibrand, Kirsten E.",1,12,100,2/2/11,1/3/13,0,3,2,1,1,SRES42,"Agriculture, Nutrition, and Forestry",13,81,NY,,,,,,
112,305,14852,"Roberts, Pat",2,1,200,2/2/11,1/3/13,21,15,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",32,82,KS,,,,,,
112,305,14506,"Lugar, Richard G.",2,2,200,2/2/11,1/3/13,0,35,2,1,0,SRES43,"Agriculture, Nutrition, and Forestry",22,81,IN,,,,,,
112,305,14009,"Cochran, Thad",2,3,200,2/2/11,1/3/13,0,33,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",46,82,MS,,,,,,
112,305,14921,"McConnell, Mitch",2,4,200,2/2/11,1/3/13,0,26,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",51,82,KY,,,,,,
112,305,29512,"Chambliss, Saxby",2,5,200,2/2/11,1/3/13,0,9,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",44,82,GA,,,,,,
112,305,40905,"Johanns, Mike",2,6,200,2/2/11,1/3/13,0,3,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",35,82,NE,,,,,,
112,305,20101,"Boozman, John",2,7,200,2/2/11,1/3/13,0,1,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",42,83,AR,,,,,,
112,305,14226,"Grassley, Charles E.",2,8,200,2/2/11,1/3/13,0,9,5,1,1,SRES43,"Agriculture, Nutrition, and Forestry",31,83,IA,,,,,,
112,305,29754,"Thune, John",2,9,200,2/2/11,1/3/13,0,5,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",37,83,SD,,,,,,
112,305,41107,"Hoeven, John",2,10,100,2/2/11,1/3/13,0,1,2,1,1,SRES43,"Agriculture, Nutrition, and Forestry",36,83,ND,,,,,,
112,306,4812,"Inouye, Daniel K.",1,1,100,2/2/11,12/17/12,11,41,2,5,0,SRES42,Appropriations,82,83,HI,,,,,,
112,306,14307,"Leahy, Patrick J.",1,2,100,2/2/11,1/3/13,0,34,2,1,1,SRES42,Appropriations,6,83,VT,,,,,,
112,306,14230,"Harkin, Tom",1,3,100,2/2/11,1/3/13,0,26,2,1,1,SRES42,Appropriations,31,82,IA,,,,,,
112,306,14440,"Mikulski, Barbara A.",1,4,100,2/2/11,1/3/13,0,25,2,1,1,SRES42,Appropriations,52,83,MD,,,,,,
112,306,15703,"Kohl, Herbert H.",1,5,100,2/2/11,1/3/13,0,19,2,1,0,SRES42,Appropriations,25,81,WI,,,,,,
112,306,49308,"Murray, Patty",1,6,100,2/2/11,1/3/13,0,19,2,1,1,SRES42,Appropriations,73,83,WA,,,,,,
112,306,49300,"Feinstein, Dianne",1,7,100,2/2/11,1/3/13,0,13,4,1,1,SRES42,Appropriations,71,81,CA,,,,,,
112,306,15021,"Durbin, Richard J.",1,8,100,2/2/11,1/3/13,0,13,2,1,1,SRES42,Appropriations,21,82,IL,,,,,,
112,306,15425,"Johnson, Tim",1,9,100,2/2/11,1/3/13,0,15,2,1,1,SRES42,Appropriations,37,82,SD,,,,,,
112,306,49702,"Landrieu, Mary L.",1,10,100,2/2/11,1/3/13,0,11,2,1,1,SRES42,Appropriations,45,82,LA,,,,,,
112,306,29142,"Reed, Jack",1,11,100,2/2/11,1/3/13,0,5,5,1,1,SRES42,Appropriations,5,82,RI,,,,,,
112,306,14914,"Lautenberg, Frank R.",1,12,100,2/2/11,1/3/13,0,5,5,1,1,SRES42,Appropriations,12,82,NJ,,,,,,
112,306,40103,"Nelson, Earl Benjamin (Ben)",1,13,100,2/2/11,1/3/13,0,5,2,1,0,SRES42,Appropriations,35,81,NE,,,,,,
112,306,40301,"Pryor, Mark",1,14,100,2/2/11,1/3/13,0,3,2,1,1,SRES42,Appropriations,42,82,AR,,,,,,
112,306,40702,"Tester, Jon",1,15,100,2/2/11,1/3/13,0,3,2,1,2,SRES42,Appropriations,64,81,MT,,,,,,
112,306,29389,"Brown, Sherrod",1,16,100,2/2/11,1/3/13,0,1,2,1,2,SRES42,Appropriations,24,81,OH,,,,,,
112,306,14009,"Cochran, Thad",2,1,200,2/2/11,1/3/13,21,31,2,1,1,SRES43,Appropriations,46,82,MS,,,,,,
112,306,14921,"McConnell, Mitch",2,2,200,2/2/11,1/3/13,0,19,2,1,1,SRES43,Appropriations,51,82,KY,,,,,,
112,306,94659,"Shelby, Richard C.",2,3,200,2/2/11,1/3/13,0,17,2,1,1,SRES43,Appropriations,41,83,AL,,,,,,
112,306,49306,"Hutchison, Kay Bailey",2,4,200,2/2/11,1/3/13,0,15,2,1,0,SRES43,Appropriations,49,81,TX,,,,,,
112,306,40304,"Alexander, Lamar",2,5,200,2/2/11,1/3/13,0,5,2,1,1,SRES43,Appropriations,54,82,TN,,,,,,
112,306,49703,"Collins, Susan",2,6,200,2/2/11,1/3/13,0,3,2,1,1,SRES43,Appropriations,2,82,ME,,,,,,
112,306,40300,"Murkowski, Lisa",2,7,200,2/2/11,1/3/13,0,3,2,1,1,SRES43,Appropriations,81,83,AK,,,,,,
112,306,29566,"Graham, Lindsey O.",2,8,200,2/2/11,1/3/13,0,1,2,1,1,SRES43,Appropriations,48,82,SC,,,,,,
112,306,20115,"Kirk, Mark",2,9,200,2/2/11,1/3/13,0,1,2,1,1,SRES43,Appropriations,21,83,IL,,,,,,
112,306,14806,"Coats, Dan",2,10,200,2/2/11,1/3/13,0,1,2,1,1,SRES43,Appropriations,22,83,IN,,,,,,
112,306,29735,"Blunt, Roy",2,11,200,2/2/11,1/3/13,0,1,2,1,1,SRES43,Appropriations,34,83,MO,,,,,,
112,306,29722,"Moran, Jerry",2,12,200,2/2/11,1/3/13,0,1,2,1,1,SRES43,Appropriations,32,83,KS,,,,,,
112,306,41107,"Hoeven, John",2,13,200,2/2/11,1/3/13,0,1,2,1,1,SRES43,Appropriations,36,83,ND,,,,,,
112,306,41111,"Johnson, Ron",2,14,200,2/2/11,1/3/13,0,1,2,1,2,SRES43,Appropriations,25,83,WI,,,,,,
112,308,14709,"Levin, Carl",1,1,100,2/2/11,1/3/13,11,33,2,1,1,SRES42,Armed Services,23,82,MI,,,,,,
112,308,15704,"Lieberman, Joseph I.",1,2,328,2/2/11,1/3/13,0,19,2,1,0,SRES42,Armed Services,1,81,CT,,,,,,
112,308,29142,"Reed, Jack",1,3,100,2/2/11,1/3/13,0,13,2,1,1,SRES42,Armed Services,5,82,RI,,,,,,
112,308,14400,"Akaka, Daniel K.",1,4,100,2/2/11,1/3/13,0,11,2,1,0,SRES42,Armed Services,82,81,HI,,,,,,
112,308,40103,"Nelson, Earl Benjamin (Ben)",1,5,100,2/2/11,1/3/13,0,11,2,1,0,SRES42,Armed Services,35,81,NE,,,,,,
112,308,40706,"Webb, Jim",1,6,100,2/2/11,1/3/13,0,5,2,1,0,SRES42,Armed Services,40,81,VA,,,,,,
112,308,40701,"McCaskill, Claire",1,7,100,2/2/11,1/3/13,0,5,2,1,1,SRES42,Armed Services,34,81,MO,,,,,,
112,308,29906,"Udall, Mark",1,8,100,2/2/11,1/3/13,0,3,2,1,1,SRES42,Armed Services,62,82,CO,,,,,,
112,308,40907,"Hagan, Kay",1,9,100,2/2/11,1/3/13,0,3,2,1,1,SRES42,Armed Services,47,82,NC,,,,,,
