row_index,ticker,description,trade_date,underlying,option_type,strike,expiration,raw_type,occ_symbol
9653,MSFT,CALL OPTIONS; STRIKE PRICE $320; EXPIRES 6/18/2026,2025-04-04,MSFT,C,320.0,2026-06-18,call,MSFT260618C00320000
11719,MSFT,CALL OPTIONS; STRIKE PRICE $325; EXPIRES 6/18/2026,2025-02-14,MSFT,C,325.0,2026-06-18,call,MSFT260618C00325000
11722,MSFT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 12/19/2025,2025-02-14,MSFT,C,240.0,2025-12-19,call,MSFT251219C00240000
11723,MSFT,CALL OPTIONS; STRIKE PRICE $235; EXPIRES 1/16/2026,2025-02-14,MSFT,C,235.0,2026-01-16,call,MSFT260116C00235000
11726,MSFT,CALL OPTIONS; STRIKE PRICE $325; EXPIRES 6/18/2026,2025-02-14,MSFT,C,325.0,2026-06-18,call,MSFT260618C00325000
11727,MSFT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 12/19/2025,2025-02-14,MSFT,C,240.0,2025-12-19,call,MSFT251219C00240000
11736,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 1/16/2026,2025-02-14,MSFT,C,230.0,2026-01-16,call,MSFT260116C00230000
11737,MSFT,CALL OPTIONS; STRIKE PRICE $320; EXPIRES 6/18/2026,2025-02-14,MSFT,C,320.0,2026-06-18,call,MSFT260618C00320000
12743,TEM,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $20 AND AN EXPIRATION DATE OF 1/16/26.,2025-01-14,TEM,C,20.0,2026-01-16,call,TEM260116C00020000
12751,VST,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $50 AND AN EXPIRATION DATE OF 1/16/26.,2025-01-14,VST,C,50.0,2026-01-16,call,VST260116C00050000
12752,NVDA,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $80 AND AN EXPIRATION DATE OF 1/16/26.,2025-01-14,NVDA,C,80.0,2026-01-16,call,NVDA260116C00080000
12755,AMZN,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $150 AND AN EXPIRATION DATE OF 1/16/26.,2025-01-14,AMZN,C,150.0,2026-01-16,call,AMZN260116C00150000
12759,GOOGL,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $150 AND AN EXPIRATION DATE OF 1/16/26.,2025-01-14,GOOGL,C,150.0,2026-01-16,call,GOOGL260116C00150000
12841,BRK.B,CALL BERKSHIRE CL B NEW $300 EXP 01/17/25 CLASS B,2025-01-13,BRK.B,C,300.0,2025-01-17,call,BRK.B250117C00300000
12856,BRK.B,CALL BERKSHIRE CL B NEW $300 EXP 01/17/25 CLASS B,2025-01-13,BRK.B,C,300.0,2025-01-17,call,BRK.B250117C00300000
13123,PANW,"EXERCISED 140 CALL OPTIONS PURCHASED 2/12/24 & 2/21/24 (14,000 SHARES) AT A STRIKE PRICE OF $100 WITH AN",2024-12-20,PANW,C,100.0,2024-02-21,call,PANW240221C00100000
13126,MSFT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 12/19/2025,2024-12-20,MSFT,C,240.0,2025-12-19,call,MSFT251219C00240000
13129,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 1/16/2026,2024-12-20,MSFT,C,230.0,2026-01-16,call,MSFT260116C00230000
13134,MSFT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 9/19/2025,2024-12-20,MSFT,C,240.0,2025-09-19,call,MSFT250919C00240000
13135,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 1/16/2026,2024-12-20,MSFT,C,230.0,2026-01-16,call,MSFT260116C00230000
13136,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 12/19/2025,2024-12-20,MSFT,C,230.0,2025-12-19,call,MSFT251219C00230000
13138,MSFT,CALL OPTIONS; STRIKE PRICE $235; EXPIRES 1/16/2026,2024-12-20,MSFT,C,235.0,2026-01-16,call,MSFT260116C00235000
13139,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 9/19/2025,2024-12-20,MSFT,C,230.0,2025-09-19,call,MSFT250919C00230000
13140,MSFT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 12/19/2025,2024-12-20,MSFT,C,225.0,2025-12-19,call,MSFT251219C00225000
13451,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 6/20/2025,2024-11-19,MSFT,C,230.0,2025-06-20,call,MSFT250620C00230000
13462,MSFT,CALL OPTIONS; STRIKE PRICE $235; EXPIRES 6/20/2025,2024-11-19,MSFT,C,235.0,2025-06-20,call,MSFT250620C00235000
13467,MSFT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 6/20/2025,2024-11-19,MSFT,C,240.0,2025-06-20,call,MSFT250620C00240000
13504,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 9/19/2025,2024-11-19,MSFT,C,230.0,2025-09-19,call,MSFT250919C00230000
13553,MSFT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 9/19/2025,2024-11-19,MSFT,C,240.0,2025-09-19,call,MSFT250919C00240000
15394,MSFT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 12/19/2025,2024-08-12,MSFT,C,225.0,2025-12-19,call,MSFT251219C00225000
16698,AVGO,PURCHASED 20 CALL OPTIONS WITH A STRIKE PRICE OF $800 AND AN EXPIRATION DATE OF 6/20/25.,2024-06-24,AVGO,C,800.0,2025-06-20,call,AVGO250620C00800000
17606,MSFT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 06/20/2025,2024-05-14,MSFT,C,225.0,2025-06-20,call,MSFT250620C00225000
17609,MSFT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 12/19/2025,2024-05-14,MSFT,C,225.0,2025-12-19,call,MSFT251219C00225000
17614,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 12/19/2025,2024-05-14,MSFT,C,230.0,2025-12-19,call,MSFT251219C00230000
17616,MSFT,CALL OPTIONS; STRIKE PRICE $220; EXPIRES 06/20/2025,2024-05-14,MSFT,C,220.0,2025-06-20,call,MSFT250620C00220000
17643,CLF,Option Type: Call Strike price: $17.00  Expires: 06/21/2024,2024-05-10,CLF,C,17.0,2024-06-21,call,CLF240621C00017000
17652,CLF,Option Type: Call Strike price: $17.00  Expires: 06/21/2024,2024-05-10,CLF,C,17.0,2024-06-21,call,CLF240621C00017000
17654,CLF,Option Type: Call Strike price: $17.00  Expires: 06/21/2024,2024-05-10,CLF,C,17.0,2024-06-21,call,CLF240621C00017000
17655,GILD,Option Type: Put Strike price: $70.00  Expires: 11/15/2024,2024-05-10,GILD,P,70.0,2024-11-15,put,GILD241115P00070000
17657,CLF,Option Type: Put Strike price: $17.00  Expires: 01/17/2025,2024-05-10,CLF,P,17.0,2025-01-17,put,CLF250117P00017000
17660,CLF,Option Type: Call Strike price: $20.00  Expires: 07/19/2024,2024-05-10,CLF,C,20.0,2024-07-19,call,CLF240719C00020000
17661,GILD,Option Type: Put Strike price: $70.00  Expires: 11/15/2024,2024-05-10,GILD,P,70.0,2024-11-15,put,GILD241115P00070000
17662,ARKK,Option Type: Put Strike price: $45.00  Expires: 09/20/2024,2024-05-10,ARKK,P,45.0,2024-09-20,put,ARKK240920P00045000
17663,GILD,Option Type: Put Strike price: $70.00  Expires: 11/15/2024,2024-05-10,GILD,P,70.0,2024-11-15,put,GILD241115P00070000
17670,CLF,Option Type: Call Strike price: $20.00  Expires: 01/17/2025,2024-05-10,CLF,C,20.0,2025-01-17,call,CLF250117C00020000
17677,CLF,Option Type: Call Strike price: $17.00  Expires: 06/21/2024,2024-05-10,CLF,C,17.0,2024-06-21,call,CLF240621C00017000
17690,KEY,Option Type: Put Strike price: $15.00  Expires: 09/20/2024,2024-05-09,KEY,P,15.0,2024-09-20,put,KEY240920P00015000
17700,GOLD,Option Type: Put Strike price: $17.00  Expires: 01/17/2025,2024-05-08,GOLD,P,17.0,2025-01-17,put,GOLD250117P00017000
17702,GOLD,Option Type: Put Strike price: $17.00  Expires: 01/17/2025,2024-05-08,GOLD,P,17.0,2025-01-17,put,GOLD250117P00017000
17705,ADBE,Option Type: Put Strike price: $500.00  Expires: 12/20/2024,2024-05-08,ADBE,P,500.0,2024-12-20,put,ADBE241220P00500000
17717,XBI,Option Type: Put Strike price: $90.00  Expires: 10/18/2024,2024-05-08,XBI,P,90.0,2024-10-18,put,XBI241018P00090000
17721,XBI,Option Type: Call Strike price: $100.00  Expires: 10/18/2024,2024-05-08,XBI,C,100.0,2024-10-18,call,XBI241018C00100000
17723,CVX,Option Type: Put Strike price: $145.00  Expires: 09/20/2024,2024-05-07,CVX,P,145.0,2024-09-20,put,CVX240920P00145000
17725,FITB,Option Type: Call Strike price: $30.00  Expires: 05/17/2024,2024-05-07,FITB,C,30.0,2024-05-17,call,FITB240517C00030000
17726,CLF,Option Type: Call Strike price: $20.00  Expires: 06/21/2024,2024-05-07,CLF,C,20.0,2024-06-21,call,CLF240621C00020000
17727,GOLD,Option Type: Call Strike price: $20.00  Expires: 01/17/2025,2024-05-07,GOLD,C,20.0,2025-01-17,call,GOLD250117C00020000
17729,ARKK,Option Type: Call Strike price: $51.00  Expires: 12/20/2024,2024-05-07,ARKK,C,51.0,2024-12-20,call,ARKK241220C00051000
17730,CCJ,Option Type: Put Strike price: $45.00  Expires: 09/20/2024,2024-05-07,CCJ,P,45.0,2024-09-20,put,CCJ240920P00045000
17734,CLF,Option Type: Call Strike price: $20.00  Expires: 11/15/2024,2024-05-07,CLF,C,20.0,2024-11-15,call,CLF241115C00020000
17870,PYPL,Option Type: Put Strike price: $75.00  Expires: 06/21/2024,2024-04-30,PYPL,P,75.0,2024-06-21,put,PYPL240621P00075000
17900,LSCC,Option Type: Put Strike price: $75.00  Expires: 01/17/2025,2024-04-29,LSCC,P,75.0,2025-01-17,put,LSCC250117P00075000
17907,LSCC,Option Type: Put Strike price: $75.00  Expires: 01/17/2025,2024-04-29,LSCC,P,75.0,2025-01-17,put,LSCC250117P00075000
17912,LSCC,Option Type: Put Strike price: $70.00  Expires: 09/20/2024,2024-04-29,LSCC,P,70.0,2024-09-20,put,LSCC240920P00070000
17918,LSCC,Option Type: Put Strike price: $70.00  Expires: 09/20/2024,2024-04-29,LSCC,P,70.0,2024-09-20,put,LSCC240920P00070000
17919,CLX,Option Type: Put Strike price: $135.00  Expires: 06/21/2024,2024-04-29,CLX,P,135.0,2024-06-21,put,CLX240621P00135000
17923,SWKS,Option Type: Put Strike price: $100.00  Expires: 11/15/2024,2024-04-29,SWKS,P,100.0,2024-11-15,put,SWKS241115P00100000
17924,CCL,Option Type: Put Strike price: $17.50  Expires: 06/21/2024,2024-04-29,CCL,P,17.5,2024-06-21,put,CCL240621P00017500
17925,QCOM,Option Type: Put Strike price: $150.00  Expires: 12/20/2024,2024-04-29,QCOM,P,150.0,2024-12-20,put,QCOM241220P00150000
17929,QCOM,Option Type: Put Strike price: $155.00  Expires: 12/20/2024,2024-04-29,QCOM,P,155.0,2024-12-20,put,QCOM241220P00155000
17937,CVX,Option Type: Call Strike price: $160.00  Expires: 06/21/2024,2024-04-29,CVX,C,160.0,2024-06-21,call,CVX240621C00160000
18191,KMB,Option Type: Put Strike price: $115.00  Expires: 06/21/2024,2024-04-18,KMB,P,115.0,2024-06-21,put,KMB240621P00115000
18378,SWKS,Option Type: Put Strike price: $100.00  Expires: 11/15/2024,2024-04-05,SWKS,P,100.0,2024-11-15,put,SWKS241115P00100000
18383,AMAT,Option Type: Put Strike price: $135.00  Expires: 09/20/2024,2024-04-04,AMAT,P,135.0,2024-09-20,put,AMAT240920P00135000
18390,AMAT,Option Type: Put Strike price: $180.00  Expires: 01/17/2025,2024-04-04,AMAT,P,180.0,2025-01-17,put,AMAT250117P00180000
18402,AMAT,Option Type: Put Strike price: $175.00  Expires: 01/17/2025,2024-04-04,AMAT,P,175.0,2025-01-17,put,AMAT250117P00175000
18417,CCJ,Option Type: Put Strike price: $45.00  Expires: 09/20/2024,2024-04-03,CCJ,P,45.0,2024-09-20,put,CCJ240920P00045000
18418,MCHP,Option Type: Put Strike price: $80.00  Expires: 10/18/2024,2024-04-03,MCHP,P,80.0,2024-10-18,put,MCHP241018P00080000
18420,GILD,Option Type: Put Strike price: $70.00  Expires: 11/15/2024,2024-04-03,GILD,P,70.0,2024-11-15,put,GILD241115P00070000
18421,MCHP,Option Type: Put Strike price: $80.00  Expires: 10/18/2024,2024-04-03,MCHP,P,80.0,2024-10-18,put,MCHP241018P00080000
18429,ABBV,Option Type: Put Strike price: $130.00  Expires: 09/20/2024,2024-04-03,ABBV,P,130.0,2024-09-20,put,ABBV240920P00130000
18431,LSCC,Option Type: Put Strike price: $75.00  Expires: 01/17/2025,2024-04-03,LSCC,P,75.0,2025-01-17,put,LSCC250117P00075000
18436,BMY,Option Type: Put Strike price: $50.00  Expires: 06/21/2024,2024-04-03,BMY,P,50.0,2024-06-21,put,BMY240621P00050000
18439,LSCC,Option Type: Put Strike price: $70.00  Expires: 09/20/2024,2024-04-03,LSCC,P,70.0,2024-09-20,put,LSCC240920P00070000
18844,ADBE,Option Type: Put Strike price: $500.00  Expires: 12/20/2024,2024-03-13,ADBE,P,500.0,2024-12-20,put,ADBE241220P00500000
18852,ADBE,Option Type: Put Strike price: $500.00  Expires: 12/20/2024,2024-03-13,ADBE,P,500.0,2024-12-20,put,ADBE241220P00500000
18864,ADBE,Option Type: Put Strike price: $500.00  Expires: 12/20/2024,2024-03-13,ADBE,P,500.0,2024-12-20,put,ADBE241220P00500000
18866,ADBE,Option Type: Put Strike price: $500.00  Expires: 12/20/2024,2024-03-13,ADBE,P,500.0,2024-12-20,put,ADBE241220P00500000
18869,QCOM,Option Type: Put Strike price: $155.00  Expires: 12/20/2024,2024-03-13,QCOM,P,155.0,2024-12-20,put,QCOM241220P00155000
18917,AMAT,Option Type: Put Strike price: $175.00  Expires: 01/17/2025,2024-03-08,AMAT,P,175.0,2025-01-17,put,AMAT250117P00175000
19034,QCOM,Option Type: Put Strike price: $150.00  Expires: 12/20/2024,2024-02-27,QCOM,P,150.0,2024-12-20,put,QCOM241220P00150000
19092,PANW,PURCHASED 20 CALL OPTIONS WITH A STRIKE PRICE OF $200 AND AN EXPIRATION DATE OF 1/17/25.,2024-02-21,PANW,C,200.0,2025-01-17,call,PANW250117C00200000
19139,AMAT,Option Type: Put Strike price: $180.00  Expires: 01/17/2025,2024-02-16,AMAT,P,180.0,2025-01-17,put,AMAT250117P00180000
19183,MSFT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 06/20/2025,2024-02-13,MSFT,C,225.0,2025-06-20,call,MSFT250620C00225000
19196,MSFT,CALL OPTIONS; STRIKE PRICE $170; EXPIRES 01/17/2025,2024-02-13,MSFT,C,170.0,2025-01-17,call,MSFT250117C00170000
19249,MSFT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 06/20/2025,2024-02-13,MSFT,C,240.0,2025-06-20,call,MSFT250620C00240000
19269,MSFT,CALL OPTIONS; STRIKE PRICE $170; EXPIRES 01/17/2025,2024-02-13,MSFT,C,170.0,2025-01-17,call,MSFT250117C00170000
19291,MSFT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 06/20/2025,2024-02-12,MSFT,C,230.0,2025-06-20,call,MSFT250620C00230000
19292,PANW,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $200 AND AN EXPIRATION DATE OF 1/17/25.,2024-02-12,PANW,C,200.0,2025-01-17,call,PANW250117C00200000
19295,ILMN,"THE TERMS OF THE CALL ARE A STRIKE PRICE OF $138, AND AN EXPIRATION OF 03/08/2024.",2024-02-12,ILMN,C,138.0,2024-03-08,call,ILMN240308C00138000
19297,MSFT,CALL OPTIONS; STRIKE PRICE $165; EXPIRES 01/17/2025,2024-02-12,MSFT,C,165.0,2025-01-17,call,MSFT250117C00165000
19299,MSFT,CALL OPTIONS; STRIKE PRICE $165; EXPIRES 01/17/2025,2024-02-12,MSFT,C,165.0,2025-01-17,call,MSFT250117C00165000
19301,MSFT,CALL OPTIONS; STRIKE PRICE $170; EXPIRES 01/17/2025,2024-02-12,MSFT,C,170.0,2025-01-17,call,MSFT250117C00170000
19303,MSFT,CALL OPTIONS; STRIKE PRICE $220; EXPIRES 06/20/2025,2024-02-12,MSFT,C,220.0,2025-06-20,call,MSFT250620C00220000
19304,MSFT,CALL OPTIONS; STRIKE PRICE $165; EXPIRES 01/17/2025,2024-02-12,MSFT,C,165.0,2025-01-17,call,MSFT250117C00165000
19309,MSFT,CALL OPTIONS; STRIKE PRICE $165; EXPIRES 01/17/2025,2024-02-12,MSFT,C,165.0,2025-01-17,call,MSFT250117C00165000
19310,MSFT,CALL OPTIONS; STRIKE PRICE $235; EXPIRES 06/20/2025,2024-02-12,MSFT,C,235.0,2025-06-20,call,MSFT250620C00235000
19311,MSFT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 06/20/2025,2024-02-12,MSFT,C,225.0,2025-06-20,call,MSFT250620C00225000
19313,KEY,Option Type: Put Strike price: $15.00  Expires: 09/20/2024,2024-02-12,KEY,P,15.0,2024-09-20,put,KEY240920P00015000
19528,INTC,Option Type: Put Strike price: $45.00  Expires: 12/20/2024,2024-01-24,INTC,P,45.0,2024-12-20,put,INTC241220P00045000
19625,CLF,Option Type: Call Strike price: $20.00  Expires: 11/15/2024,2024-01-22,CLF,C,20.0,2024-11-15,call,CLF241115C00020000
19626,CLF,Option Type: Put Strike price: $17.00  Expires: 01/17/2025,2024-01-22,CLF,P,17.0,2025-01-17,put,CLF250117P00017000
19627,CLF,Option Type: Call Strike price: $20.00  Expires: 11/15/2024,2024-01-22,CLF,C,20.0,2024-11-15,call,CLF241115C00020000
19631,CLF,Option Type: Put Strike price: $17.00  Expires: 01/17/2025,2024-01-22,CLF,P,17.0,2025-01-17,put,CLF250117P00017000
19640,CLF,Option Type: Put Strike price: $17.00  Expires: 01/17/2025,2024-01-22,CLF,P,17.0,2025-01-17,put,CLF250117P00017000
19682,PG,Option Type: Put Strike price: $150.00  Expires: 01/19/2024,2024-01-19,PG,P,150.0,2024-01-19,put,PG240119P00150000
19981,AAPL,Option Type: Put Strike price: $165.00  Expires: 03/15/2024,2024-01-10,AAPL,P,165.0,2024-03-15,put,AAPL240315P00165000
20324,CVX,Option Type: Call Strike price: $160.00  Expires: 06/21/2024,2023-12-18,CVX,C,160.0,2024-06-21,call,CVX240621C00160000
20330,GOLD,Option Type: Call Strike price: $20.00  Expires: 01/17/2025,2023-12-18,GOLD,C,20.0,2025-01-17,call,GOLD250117C00020000
20332,CVX,Option Type: Put Strike price: $145.00  Expires: 09/20/2024,2023-12-18,CVX,P,145.0,2024-09-20,put,CVX240920P00145000
20333,GOLD,Option Type: Put Strike price: $17.00  Expires: 01/17/2025,2023-12-18,GOLD,P,17.0,2025-01-17,put,GOLD250117P00017000
20428,DVA,Option Type: Put Strike price: $100.00  Expires: 07/19/2024,2023-12-12,DVA,P,100.0,2024-07-19,put,DVA240719P00100000
20753,NVDA,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $120 AND AN EXPIRATION DATE OF 12/20/24.,2023-11-22,NVDA,C,120.0,2024-12-20,call,NVDA241220C00120000
20761,MDLZ,Option Type: Put Strike price: $70.00  Expires: 01/19/2024,2023-11-22,MDLZ,P,70.0,2024-01-19,put,MDLZ240119P00070000
20767,CLF,Option Type: Call Strike price: $20.00  Expires: 07/19/2024,2023-11-21,CLF,C,20.0,2024-07-19,call,CLF240719C00020000
20773,ABBV,Option Type: Put Strike price: $130.00  Expires: 09/20/2024,2023-11-20,ABBV,P,130.0,2024-09-20,put,ABBV240920P00130000
20809,BMY,Option Type: Put Strike price: $50.00  Expires: 06/21/2024,2023-11-16,BMY,P,50.0,2024-06-21,put,BMY240621P00050000
20815,MCHP,Option Type: Put Strike price: $80.00  Expires: 10/18/2024,2023-11-15,MCHP,P,80.0,2024-10-18,put,MCHP241018P00080000
20818,AMAT,Option Type: Put Strike price: $135.00  Expires: 09/20/2024,2023-11-15,AMAT,P,135.0,2024-09-20,put,AMAT240920P00135000
20825,MSFT,CALL OPTIONS; STRIKE PRICE $170; EXPIRES 01/17/2025,2023-11-14,MSFT,C,170.0,2025-01-17,call,MSFT250117C00170000
20826,MSFT,CALL OPTIONS; STRIKE PRICE $160; EXPIRES 06/21/2024,2023-11-14,MSFT,C,160.0,2024-06-21,call,MSFT240621C00160000
20827,OXY,Option Type: Put Strike price: $60.00  Expires: 05/17/2024,2023-11-14,OXY,P,60.0,2024-05-17,put,OXY240517P00060000
20829,MSFT,CALL OPTIONS; STRIKE PRICE $170; EXPIRES 06/21/2024,2023-11-14,MSFT,C,170.0,2024-06-21,call,MSFT240621C00170000
20830,MSFT,CALL OPTIONS; STRIKE PRICE $165; EXPIRES 01/17/2025,2023-11-14,MSFT,C,165.0,2025-01-17,call,MSFT250117C00165000
20835,OXY,Option Type: Call Strike price: $65.00  Expires: 06/21/2024,2023-11-14,OXY,C,65.0,2024-06-21,call,OXY240621C00065000
20964,MSFT,Option Type: Put Strike price: $305.00  Expires: 09/20/2024,2023-11-09,MSFT,P,305.0,2024-09-20,put,MSFT240920P00305000
20965,CLF,Option Type: Call Strike price: $20.00  Expires: 01/17/2025,2023-11-09,CLF,C,20.0,2025-01-17,call,CLF250117C00020000
20983,X,Option Type: Put Strike price: $20.00  Expires: 06/21/2024,2023-11-07,X,P,20.0,2024-06-21,put,X240621P00020000
21423,CLF,Option Type: Call Strike price: $17.00  Expires: 06/21/2024,2023-10-31,CLF,C,17.0,2024-06-21,call,CLF240621C00017000
21490,CLX,Option Type: Put Strike price: $135.00  Expires: 06/21/2024,2023-10-31,CLX,P,135.0,2024-06-21,put,CLX240621P00135000
